,block,plot,year,Precipitation,Warm,warm,precip,clip,Clip,DNA concentration,DNA by pcgreen,NO3-N,NH4-N,TN,TC,pH,FlTotl,FlC4,FlC3,root_biomass,plant richness,moisture_samplingmonth,annual_moisture,precipitation_Oct_cm,precipitation_annual_cm,SPEI,temperature_annual,ER_annualmean,GPP_annualmean,NEE_annualmean,Autotrophic,Heterotrophic,total_soil_respiration
X19_23N_N_N_1,B4,N23,2019,normal,unwarming,0,1,0,unclipping,108.6,79.8,6.915,4.095,0.14018,1.2779,5.94,NA,NA,NA,NA,7,12.6,29.28181818,11.8,106.2482,1.01194,NA,4.425329341,5.727460384,-1.302131043,0.411,4.062,4.473
X19_23S_N_C_1,B4,S23,2019,normal,unwarming,0,1,1,Clipping,117.8,91.4,4.14,3.1965,0.12605,1.1782,6.15,NA,NA,NA,NA,4,19.1,31.65151515,11.8,106.2482,1.01194,NA,3.404488362,6.079129582,6.862642737,1.159,4.364,5.523
X19_24N_N_N_0,B4,N24,2019,half,unwarming,0,0.5,0,unclipping,122.8,121.1,7.25,2.3895,0.11309,1.002,5.91,NA,NA,NA,NA,9,11.2,27.51212121,11.8,106.2482,1.01194,NA,4.012040554,6.779289987,-2.767249434,2.547,3.023,5.57
X19_24S_N_C_0,B4,S24,2019,half,unwarming,0,0.5,1,Clipping,104.2,87.5,8.185,9.185,0.12532,1.0831,5.85,NA,NA,NA,NA,6,10.8,29.19090909,11.8,106.2482,1.01194,NA,2.752082177,5.175280573,-2.423198396,0.642,2.686,3.328
X19_2N_H_N_0,B1,N02,2019,half,warming,1,0.5,0,unclipping,39.7,27.4,3.6295,2.072,0.08508,0.59741,6.35,NA,NA,NA,NA,9,8.5,16.31212121,11.8,106.2482,1.01194,NA,3.140758227,4.060248944,-0.919490717,2.516,2.327,4.843
X19_2S_H_C_0,B1,S02,2019,half,warming,1,0.5,1,Clipping,75.7,62.8,15.705,4.1915,0.10427,0.82392,6.5,NA,NA,NA,NA,11,10.2,16.48787879,11.8,106.2482,1.01194,NA,3.651086523,5.411938022,-1.760851499,2.405,2.521,4.926
X19_3N_N_N_1,B1,N03,2019,normal,unwarming,0,1,0,unclipping,47.3,37.1,8.92,6.11,0.08912,0.59775,6.62,NA,NA,NA,NA,6,7.7,23.56969697,11.8,106.2482,1.01194,NA,3.249150962,4.047670328,-0.798519366,2.146,2.63,4.776
X19_3S_N_C_1,B1,S03,2019,normal,unwarming,0,1,1,Clipping,65.1,51.8,15.15,3.0685,0.1214,0.95023,5.9,NA,NA,NA,NA,9,10.8,26.15151515,11.8,106.2482,1.01194,NA,4.787413672,7.802761591,-3.01534792,1.877,2.462,4.339
X19_4N_H_N_2,B2,N04,2019,double,warming,1,2,0,unclipping,55.4,41.3,6.85,1.8495,0.0901,0.62617,6.21,NA,NA,NA,NA,8,9.5,22.1030303,11.8,106.2482,1.01194,NA,5.694607316,6.605930005,-0.911322688,1.05,2.454,3.504
X19_4S_H_C_2,B2,S04,2019,double,warming,1,2,1,Clipping,43.1,30.3,7.01,2.806,0.09672,0.68661,6.2,NA,NA,NA,NA,9,12.9,19.98484848,11.8,106.2482,1.01194,NA,4.839379392,0.91241955,3.926959842,2.893,2.713,5.606
X19_5N_H_N_0,B2,N05,2019,half,warming,1,0.5,0,unclipping,53.9,39.5,26.355,2.3085,0.10364,0.8022,6.8,NA,NA,NA,NA,7,12.4,17.11818182,11.8,106.2482,1.01194,NA,4.355527191,5.210586118,-1.164152416,1.223,4.075,5.298
X19_5S_H_C_0,B2,S05,2019,half,warming,1,0.5,1,Clipping,60.2,37.3,25.58,2.209,0.11825,0.9217,6.31,NA,NA,NA,NA,5,11.4,17.39393939,11.8,106.2482,1.01194,NA,4.161751443,3.949741942,0.212009501,2.09,3.489,5.579
X19_6N_N_N_1,B2,N06,2019,normal,unwarming,0,1,0,unclipping,95.6,79.1,8.325,2.308,0.12216,0.91075,5.94,NA,NA,NA,NA,8,14.3,24.6,11.8,106.2482,1.01194,NA,3.156533174,10.41048955,-7.253956372,1.956,3.168,5.124
X19_6S_N_C_1,B2,S06,2019,normal,unwarming,0,1,1,Clipping,71.6,57.9,17.255,2.526,0.10151,0.83321,5.95,NA,NA,NA,NA,8,14.7,26.9030303,11.8,106.2482,1.01194,NA,3.845586712,6.019429134,-2.173842422,-0.093,2.906,2.813
X19_7N_H_N_2,B1,N07,2019,double,warming,1,2,0,unclipping,94.6,65,0.8035,2.114,0.11917,1.0949,6.46,NA,NA,NA,NA,6,20.3,21.66969697,11.8,106.2482,1.01194,NA,3.715585436,4.37914632,-0.663560884,2.416,3.306,5.722
X19_7S_H_C_2,B1,S07,2019,double,warming,1,2,1,Clipping,77.3,62.2,3.5035,2.1495,0.10797,0.79977,6.59,NA,NA,NA,NA,7,16,21.98484848,11.8,106.2482,1.01194,NA,4.794010874,3.538787648,1.255223225,1.598,4.254,5.852
X19_8N_N_N_0,B1,N08,2019,half,unwarming,0,0.5,0,unclipping,88.4,90.6,3.7075,2.548,0.10488,0.72878,6.17,NA,NA,NA,NA,9,18.9,24.50909091,11.8,106.2482,1.01194,NA,4.538046365,4.883965865,-0.345919499,2.808,3.503,6.311
X19_8S_N_C_0,B1,S08,2019,half,unwarming,0,0.5,1,Clipping,68.2,50.4,5.855,2.2335,0.09342,0.77247,6.3,NA,NA,NA,NA,10,25,26.17878788,11.8,106.2482,1.01194,NA,3.985082447,5.023874853,-1.038792406,2.79,2.59,5.38
X19_9N_N_N_2,B1,N09,2019,double,unwarming,0,2,0,unclipping,60.9,39.1,5.775,2.5585,0.12478,1.0267,6.24,NA,NA,NA,NA,7,18.5,27.79393939,11.8,106.2482,1.01194,NA,3.654174998,4.561117842,-0.906942844,1.936,3.61,5.546
X19_9S_N_C_2,B1,S09,2019,double,unwarming,0,2,1,Clipping,71.1,57.2,14.24,2.4075,0.11186,0.95807,6.71,NA,NA,NA,NA,7,15.6,31.78484848,11.8,106.2482,1.01194,NA,4.584347353,5.264442475,-0.680095123,3.861,3.457,7.318
X20_10N_H_N_1,B2,N10,2020,normal,warming,1,1,0,unclipping,83.6,53.9,0.804,2.8835,0.09638,0.8447,7,NA,NA,NA,NA,7,8.666666667,14.2,14.9,119.4054,0.83434,NA,1.388276149,2.589757102,-1.201480953,2.68,4.866,7.546
X20_10S_H_C_1,B2,S10,2020,normal,warming,1,1,1,Clipping,98.6,90,15.265,4.6855,0.13834,1.2518,7,1712.4,752.8,959.6,NA,6,12.56666667,15.08518519,14.9,119.4054,0.83434,NA,1.919144591,3.261011973,-1.341867382,2.865,4.68,7.545
X20_11N_N_N_0,B2,N11,2020,half,unwarming,0,0.5,0,unclipping,103.1,99.9,3.008,2.975,0.1354,1.267,6.68,NA,NA,NA,NA,6,10.16666667,15.14814815,14.9,119.4054,0.83434,NA,1.490380163,3.36921557,-1.878835407,2.989,2.879,5.868
X20_11S_N_C_0,B2,S11,2020,half,unwarming,0,0.5,1,Clipping,98.9,87.9,6.245,5.43,0.1864,1.9163,6.59,856.8,370.8,486,NA,11,12.3,17.43333333,14.9,119.4054,0.83434,NA,1.798512411,3.579130733,-1.780618322,1.891,4.769,6.66
X20_12N_N_N_2,B2,N12,2020,double,unwarming,0,2,0,unclipping,96.1,89.5,2.5945,3.6095,0.11753,0.97111,7.09,NA,NA,NA,NA,9,10.8,16.36666667,14.9,119.4054,0.83434,NA,1.509163622,2.424360605,-0.915196983,0.819,4.25,5.069
X20_12S_N_C_2,B2,S12,2020,double,unwarming,0,2,1,Clipping,99.3,82.6,3.193,5.44,0.15027,1.3792,6.72,1347.6,222.1,1125.5,NA,8,10.73333333,19.33703704,14.9,119.4054,0.83434,NA,1.321896667,2.242060879,-0.920164212,-0.018,4.49,4.472
X20_13N_N_N_0,B3,N13,2020,half,unwarming,0,0.5,0,unclipping,88.3,76.7,2.503,3.13,0.10879,0.8711,6.84,NA,NA,NA,NA,9,20.03333333,18.2962963,14.9,119.4054,0.83434,NA,1.085623116,1.917685821,-0.832062706,3.136,3.763,6.899
X20_13S_N_C_0,B3,S13,2020,half,unwarming,0,0.5,1,Clipping,92,77.1,3.795,4.8545,0.15502,1.382,6.79,721.9,721.9,NA,NA,12,21.26666667,19.48518519,14.9,119.4054,0.83434,NA,1.332335135,2.52360774,-1.191272605,2.549,3.465,6.014
X20_14N_N_N_2,B3,N14,2020,double,unwarming,0,2,0,unclipping,81.5,69.2,1.4025,4.6635,0.11855,1.0039,6.81,NA,NA,NA,NA,6,23.06666667,22.69259259,14.9,119.4054,0.83434,NA,1.779394537,3.318855559,-1.539461022,-0.108,6.412,6.304
X20_14S_N_C_2,B3,S14,2020,double,unwarming,0,2,1,Clipping,101.8,77,10.115,9.225,0.18759,1.7955,6.59,448.1,424.4,23.7,NA,6,27.86666667,24.75555556,14.9,119.4054,0.83434,NA,2.404053896,3.985134436,-1.581080541,3.079,2.514,5.593
X20_15N_H_N_0,B3,N15,2020,half,warming,1,0.5,0,unclipping,96,73.2,0.501,3.69,0.10372,0.84074,6.72,NA,NA,NA,NA,10,11.76666667,16.06296296,14.9,119.4054,0.83434,NA,1.75490999,2.20875987,-0.45384988,4.205,1.967,6.172
X20_15S_H_C_0,B3,S15,2020,half,warming,1,0.5,1,Clipping,85.3,60.1,6.21,2.604,0.11264,0.93126,6.53,1050.9,873.4,177.5,NA,9,14.63333333,16.0037037,14.9,119.4054,0.83434,NA,2.142455996,3.309854607,-1.16739861,0.066,2.998,3.064
X20_16N_H_N_1,B4,N16,2020,normal,warming,1,1,0,unclipping,76.5,59.9,3.735,1.9955,0.10363,0.84609,6.62,NA,NA,NA,NA,8,9.833333333,15.33703704,14.9,119.4054,0.83434,NA,1.957801238,2.427166711,-0.469365474,2.947,4.173,7.12
X20_16S_H_C_1,B4,S16,2020,normal,warming,1,1,1,Clipping,112.2,91.3,3.266,7.01,0.16056,1.5086,6.79,472.8,472.8,NA,NA,9,16.56666667,19.07777778,14.9,119.4054,0.83434,NA,2.273277684,3.289210638,-1.015932954,1.101,3.702,4.803
X20_17N_N_N_2,B4,N17,2020,double,unwarming,0,2,0,unclipping,105.3,83.6,1.7885,3.618,0.12515,1.0384,7.1,NA,NA,NA,NA,7,21.5,21.64814815,14.9,119.4054,0.83434,NA,1.995348168,3.225263826,-1.229915657,0.872,4.079,4.951
X20_17S_N_C_2,B4,S17,2020,double,unwarming,0,2,1,Clipping,78.6,65.1,4.3385,3.6685,0.13867,1.2442,6.69,867.4,445.2,422.2,NA,11,20.66666667,21.97037037,14.9,119.4054,0.83434,NA,2.051688203,3.210108636,-1.158420433,-0.134,4.563,4.429
X20_18N_H_N_0,B4,N18,2020,half,warming,1,0.5,0,unclipping,71.2,55.5,1.9145,2.519,0.09496,0.76995,6.71,NA,NA,NA,NA,8,13.3,14.53703704,14.9,119.4054,0.83434,NA,1.798430874,1.89091745,-0.092486576,0.956,3.76,4.716
X20_18S_H_C_0,B4,S18,2020,half,warming,1,0.5,1,Clipping,100.5,76.2,10.305,4.8615,0.15169,1.3333,6.75,549.7,62.7,487,NA,8,18.33333333,17.43703704,14.9,119.4054,0.83434,NA,2.132893424,3.712033506,-1.579140083,0.516,3.344,3.86
X20_19N_N_N_1,B3,N19,2020,normal,unwarming,0,1,0,unclipping,83,61.6,2.259,4.2775,0.11006,0.93088,6.52,NA,NA,NA,NA,7,19.83333333,20.14074074,14.9,119.4054,0.83434,NA,-0.070673192,0.207410322,-0.278083514,1.665,2.744,4.409
X20_19S_N_C_1,B3,S19,2020,normal,unwarming,0,1,1,Clipping,73.4,59.8,8.175,3.551,0.11438,0.97413,6.45,614.8,586.1,28.7,NA,5,20.06666667,21.92962963,14.9,119.4054,0.83434,NA,2.174638699,2.994754038,-0.820115339,1.665,3.769,5.434
X20_1N_H_N_1,B1,N01,2020,normal,warming,1,1,0,unclipping,87.7,66,5.18,9.93,0.15072,1.3034,6.76,NA,NA,NA,NA,8,13.93333333,14.17037037,14.9,119.4054,0.83434,NA,1.552363167,1.198567767,0.353795401,3.312,3.531,6.843
X20_1S_H_C_1,B1,S01,2020,normal,warming,1,1,1,Clipping,88.3,56.1,5.28,3.4655,0.10967,0.90258,7.24,1179.2,1014.4,164.8,NA,8,19.2,15.0962963,14.9,119.4054,0.83434,NA,2.087153146,3.33460063,-1.247447484,1.574,4.877,6.451
X20_20N_H_N_1,B3,N20,2020,normal,warming,1,1,0,unclipping,77.1,62.4,0.7365,4.106,0.12912,1.0448,6.84,NA,NA,NA,NA,5,16.43333333,19.62962963,14.9,119.4054,0.83434,NA,1.624262031,2.077767874,-0.453505843,2.602,3.554,6.156
X20_20S_H_C_1,B3,S20,2020,normal,warming,1,1,1,Clipping,81.2,64.2,7.41,6.58,0.14054,1.267,6.53,1596.7,750,846.7,NA,4,23.93333333,20.50740741,14.9,119.4054,0.83434,NA,2.147060547,1.672192991,0.474867556,3.26,3.03,6.29
X20_21N_H_N_2,B3,N21,2020,double,warming,1,2,0,unclipping,74.4,51.2,1.5685,3.1135,0.09918,0.81186,6.35,NA,NA,NA,NA,6,12.96666667,17.39259259,14.9,119.4054,0.83434,NA,0.923866939,0.720825036,0.203041903,3.035,4.153,7.188
X20_21S_H_C_2,B3,S21,2020,double,warming,1,2,1,Clipping,82.8,67.6,17.655,5.06,0.15287,1.5705,6.25,1176.5,1121.9,54.6,NA,5,22.93333333,19.95185185,14.9,119.4054,0.83434,NA,-0.050930507,0.849822754,-0.900753262,-0.144,4.494,4.35
X20_22N_H_N_2,B4,N22,2020,double,warming,1,2,0,unclipping,98.5,101.4,0.8185,4.2835,0.13508,1.2903,7.3,NA,NA,NA,NA,7,13.3,16.45925926,14.9,119.4054,0.83434,NA,1.72844966,2.064584606,-0.336134946,2.476,3.859,6.335
X20_22S_H_C_2,B4,S22,2020,double,warming,1,2,1,Clipping,91.9,81.6,3.787,4.8425,0.13948,1.3384,6.79,1058.9,399.9,659,NA,9,20.66666667,20.54074074,14.9,119.4054,0.83434,NA,2.248421264,3.741075085,-1.492653822,2.068,3.862,5.93
X20_23N_N_N_1,B4,N23,2020,normal,unwarming,0,1,0,unclipping,85.3,83.8,1.2855,5.255,0.13264,1.2141,6.6,NA,NA,NA,NA,8,21.6,22.06666667,14.9,119.4054,0.83434,NA,1.321505822,1.521580128,-0.200074306,1.822,3.237,5.059
X20_23S_N_C_1,B4,S23,2020,normal,unwarming,0,1,1,Clipping,85.5,77.4,5.34,3.521,0.13183,1.2519,6.63,436.4,281,155.4,NA,9,25.73333333,23.35185185,14.9,119.4054,0.83434,NA,2.177496613,3.441609179,-1.264112566,1.972,2.208,4.18
X20_24N_N_N_0,B4,N24,2020,half,unwarming,0,0.5,0,unclipping,49.2,37.4,3.448,3.4005,0.08569,0.73738,6.23,NA,NA,NA,NA,8,21.13333333,20.98518519,14.9,119.4054,0.83434,NA,2.1895525,3.144923047,-0.955370547,2.554,2.97,5.524
X20_24S_N_C_0,B4,S24,2020,half,unwarming,0,0.5,1,Clipping,112.5,102.8,6.515,4.82,0.19112,1.8544,6.3,175.7,175.7,NA,NA,10,24.66666667,22.51111111,14.9,119.4054,0.83434,NA,1.970236505,3.23913297,-1.268896465,1.093,2.894,3.987
X20_2N_H_N_0,B1,N02,2020,half,warming,1,0.5,0,unclipping,93.4,82.2,1.7185,2.309,0.10522,0.89244,6.69,NA,NA,NA,NA,6,7.733333333,13.41851852,14.9,119.4054,0.83434,NA,1.360313012,1.880143906,-0.519830894,2.566,3.682,6.248
X20_2S_H_C_0,B1,S02,2020,half,warming,1,0.5,1,Clipping,101,85.7,5.855,2.5835,0.11047,0.8852,6.84,1284.9,93.1,1191.8,NA,12,10.26666667,13.4037037,14.9,119.4054,0.83434,NA,1.183160696,1.909041121,-0.725880425,0.198,3.932,4.13
X20_3N_N_N_1,B1,N03,2020,normal,unwarming,0,1,0,unclipping,77.4,61.9,4.606,3.017,0.09636,0.79299,6.63,NA,NA,NA,NA,9,8.966666667,17.15555556,14.9,119.4054,0.83434,NA,0.883847563,1.203044635,-0.319197072,1.525,3.552,5.077
X20_3S_N_C_1,B1,S03,2020,normal,unwarming,0,1,1,Clipping,101.5,82.2,5.775,7.51,0.15848,1.4555,7.1,958.9,468.4,490.5,NA,10,13.7,19.06296296,14.9,119.4054,0.83434,NA,2.552591606,4.091410584,-1.538818979,2.261,2.428,4.689
X20_4N_H_N_2,B2,N04,2020,double,warming,1,2,0,unclipping,76.4,61.1,1.8095,3.025,0.08897,0.67332,6.96,NA,NA,NA,NA,8,7.833333333,14.42222222,14.9,119.4054,0.83434,NA,1.290198155,2.52175153,-1.231553375,0.897,3.227,4.124
X20_4S_H_C_2,B2,S04,2020,double,warming,1,2,1,Clipping,96.8,70.4,3.169,6.595,0.12138,1.1462,6.96,1809.7,371.6,1438.1,NA,8,10.23333333,15.64814815,14.9,119.4054,0.83434,NA,1.92503179,3.482154385,-1.557122595,0.265,4.196,4.461
X20_5N_H_N_0,B2,N05,2020,half,warming,1,0.5,0,unclipping,65.7,52.2,1.5135,2.717,0.09415,0.73675,7.67,NA,NA,NA,NA,6,5.533333333,12.48888889,14.9,119.4054,0.83434,NA,1.202337087,1.865140369,-0.662803282,2.796,3.318,6.114
X20_5S_H_C_0,B2,S05,2020,half,warming,1,0.5,1,Clipping,86.1,75.1,9.075,9.265,0.1366,1.3122,8.48,656.8,656.8,NA,NA,5,12.13333333,14.64444444,14.9,119.4054,0.83434,NA,1.313606623,1.402498802,-0.088892179,1.661,3.45,5.111
X20_6N_N_N_1,B2,N06,2020,normal,unwarming,0,1,0,unclipping,80.2,72.7,2.192,3.913,0.11202,0.98923,6.94,NA,NA,NA,NA,10,10.23333333,16.25185185,14.9,119.4054,0.83434,NA,1.566950079,2.074026251,-0.507076172,2.802,3.121,5.923
X20_6S_N_C_1,B2,S06,2020,normal,unwarming,0,1,1,Clipping,119.3,102.9,6,7.425,0.14602,1.3991,7.02,304.4,229.6,74.8,NA,9,11.13333333,18.11481481,14.9,119.4054,0.83434,NA,1.89359484,2.841668736,-0.948073896,0.015,3.781,3.796
X20_7N_H_N_2,B1,N07,2020,double,warming,1,2,0,unclipping,107,104,2.393,3.5145,0.12234,1.0633,6.97,NA,NA,NA,NA,11,8.566666667,15.55555556,14.9,119.4054,0.83434,NA,1.345582974,1.122781178,0.222801795,2.133,3.271,5.404
X20_7S_H_C_2,B1,S07,2020,double,warming,1,2,1,Clipping,118.2,100.9,8.385,5.45,0.14714,1.2716,7,838.9,838.9,NA,NA,7,14.53333333,16.96296296,14.9,119.4054,0.83434,NA,1.86787292,2.531173292,-0.663300373,2.868,4.248,7.116
X20_8N_N_N_0,B1,N08,2020,half,unwarming,0,0.5,0,unclipping,98.2,77.3,5.075,7.94,0.15409,1.3849,6.8,NA,NA,NA,NA,9,10.1,16.51111111,14.9,119.4054,0.83434,NA,1.85339551,2.277524927,-0.424129416,1.345,3.78,5.125
X20_8S_N_C_0,B1,S08,2020,half,unwarming,0,0.5,1,Clipping,96.3,85.4,4.668,7.75,0.11869,1.2341,7.13,606.1,148.7,457.4,NA,8,12.36666667,17.38518519,14.9,119.4054,0.83434,NA,1.82263259,3.889355682,-2.066723092,0.713,4.359,5.072
X20_9N_N_N_2,B1,N09,2020,double,unwarming,0,2,0,unclipping,86.3,75.3,1.6835,3.4665,0.10307,0.83505,7.01,NA,NA,NA,NA,6,10.73333333,18.08148148,14.9,119.4054,0.83434,NA,1.382907875,2.186921288,-0.804013413,1.757,3.89,5.647
X20_9S_N_C_2,B1,S09,2020,double,unwarming,0,2,1,Clipping,83.1,69.1,3.8615,5.29,0.10667,1.0007,6.91,614.3,614.3,NA,NA,8,15.13333333,20.51111111,14.9,119.4054,0.83434,NA,2.635865503,3.720363754,-1.084498251,3.408,4.114,7.522
